position_info,detector_list_info,EPU57_gap,EPU105_gap,FEslit_h_center,FEslit_h_gap,FEslit_v_center,FEslit_v_gap,M1_X,M1_Ry,M1_Rz,PGM_Energy,PGM_Focus_Const,PGM_Grating_Trans,M3Udiag_trans,M3_X,M3_Y,M3_Z,M3_Rx,M3_Ry,M3_Rz,ExitSlitA_h_gap,ExitSlitA_v_gap,ExitSlitB_h_gap,ExitSlitB_v_gap,BTA2diag_trans,BTB2diag_trans,M4A_HFM_X,M4A_HFM_Z,M4A_HFM_Au_Mesh,M4A_VFM_Y,M4A_VFM_Z,M4A_VFM_Au_Mesh,M4B_X,M4B_Y,M4B_Z,M4B_Rx,M4B_Ry,M4B_Rz
Branch_A,"BeamSource_Current,BeamSource_Xoffset,BeamSource_Xangle,BeamSource_Yoffset,BeamSource_Yangle",,,,,,,-3.7799,-3639.5539,5423.4825,,,,,0.25,18,0,0,-0.70586,-0.25,,,,,,,,,,,,,,,,,,
Branch_B,"BeamSource_Current,BeamSource_Xoffset,BeamSource_Xangle,BeamSource_Yoffset,BeamSource_Yangle",,,,,,,-4.5,-3616.0302,5432.1121,,,,,0.25,-14,0,0,-0.72615,-0.221,,,,,,,,,,,,,,,,,,
