Energy,Phase
199.099,17.60154677
205.29054,17.65204353
211.48208,17.70085015
217.67362,17.74802064
223.86516,17.79360792
230.0567,17.83766385
236.24824,17.88023917
242.43978,17.92138357
248.63132,17.9611457
254.82286,17.99957315
261.0144,18.03671246
267.20594,18.07260919
273.39748,18.10730784
279.58902,18.14085194
285.78056,18.17328402
291.9721,18.20464564
298.16364,18.23497738
304.35518,18.26431887
310.54672,18.29270878
316.73826,18.32018486
322.9298,18.34678394
329.12134,18.37254192
335.31288,18.3974938
341.50442,18.42167371
347.69596,18.44511486
353.8875,18.46784963
360.07904,18.48990952
366.27058,18.51132518
372.46212,18.53212644
378.65366,18.55234228
384.8452,18.5720009
391.03674,18.59112966
397.22828,18.60975514
403.41982,18.62790314
409.61136,18.64559869
415.8029,18.66286607
421.99444,18.67972878
428.18598,18.69620961
434.37752,18.71233062
440.56906,18.72811313
446.7606,18.74357778
452.95214,18.7587445
459.14368,18.77363255
465.33522,18.78826051
471.52676,18.8026463
477.7183,18.81680718
483.90984,18.83075978
490.10138,18.84452009
496.29292,18.85810351
502.48446,18.8715248
508.676,18.88479814
514.86754,18.89793713
521.05908,18.91095477
527.25062,18.92386353
533.44216,18.93667531
539.6337,18.94940147
545.82524,18.96205283
552.01678,18.97463972
558.20832,18.98717193
564.39986,18.99965877
570.5914,19.01210906
576.78294,19.02453113
582.97448,19.03693287
589.16602,19.04932171
595.35756,19.06170461
601.5491,19.07408813
607.74064,19.08647841
613.93218,19.09888115
620.12372,19.11130168
626.31526,19.12374492
632.5068,19.13621544
638.69834,19.14871741
644.88988,19.16125467
651.08142,19.17383071
657.27296,19.18644868
663.4645,19.19911142
669.65604,19.21182143
675.84758,19.22458095
682.03912,19.2373919
688.23066,19.25025594
694.4222,19.26317444
700.61374,19.27614853
706.80528,19.28917909
712.99682,19.30226677
719.18836,19.315412
725.3799,19.32861497
731.57144,19.34187569
737.76298,19.35519399
743.95452,19.36856948
750.14606,19.38200165
756.3376,19.3954898
762.52914,19.40903308
768.72068,19.42263052
774.91222,19.43628102
781.10376,19.44998336
787.2953,19.46373622
793.48684,19.47753819
799.67838,19.49138777
805.86992,19.5052834
812.06146,19.51922345
818.253,19.53320624
824.44454,19.54723007
830.63608,19.5612932
836.82762,19.57539386
843.01916,19.5895303
849.2107,19.60370077
855.40224,19.61790352
861.59378,19.63213685
867.78532,19.64639908
873.97686,19.66068859
880.1684,19.67500382
886.35994,19.68934328
892.55148,19.70370556
898.74302,19.71808935
904.93456,19.73249343
911.1261,19.74691672
917.31764,19.76135823
923.50918,19.77581715
929.70072,19.79029279
935.89226,19.80478462
942.0838,19.81929229
948.27534,19.83381562
954.46688,19.84835464
960.65842,19.86290955
966.84996,19.87748081
973.0415,19.89206906
979.23304,19.90667521
985.42458,19.92130039
991.61612,19.93594601
997.80766,19.95061372
1003.9992,19.96530548
1010.19074,19.98002353
1016.38228,19.9947704
1022.57382,20.00954894
1028.76536,20.02436233
1034.9569,20.03921407
1041.14844,20.05410803
1047.33998,20.0690484
1053.53152,20.08403976
1059.72306,20.09908707
1065.9146,20.11419568
1072.10614,20.12937131
1078.29768,20.14462013
1084.48922,20.15994871
1090.68076,20.17536406
1096.8723,20.19087363
1103.06384,20.20648532
1109.25538,20.2222075
1115.44692,20.23804903
1121.63846,20.25401924
1127.83,20.27012796
1134.02154,20.28638553
1140.21308,20.30280281
1146.40462,20.3193912
1152.59616,20.33616264
1158.7877,20.3531296
1164.97924,20.37030516
1171.17078,20.38770292
1177.36232,20.4053371
1183.55386,20.42322252
1189.7454,20.4413746
1195.93694,20.45980936
1202.12848,20.47854347
1208.32002,20.49759424
1214.51156,20.51697963
1220.7031,20.53671826
1226.89464,20.55682942
1233.08618,20.57733308
1239.27772,20.59824993
1245.46926,20.61960134
1251.6608,20.64140941
1257.85234,20.66369696
1264.04388,20.68648756
1270.23542,20.70980551
1276.42696,20.7336759
1282.6185,20.75812457
1288.81004,20.78317815
1295.00158,20.80886406
1301.19312,20.83521053
1307.38466,20.8622466
1313.5762,20.89000214
1319.76774,20.91850787
1325.95928,20.94779532
1332.15082,20.97789693
1338.34236,21.00884598
1344.5339,21.04067663
1350.72544,21.07342394
1356.91698,21.10712387
1363.10852,21.1418133
1369.30006,21.17753004
1375.4916,21.21431281
1381.68314,21.25220131
1387.87468,21.29123617
1394.06622,21.33145902
1400.25776,21.37291242
1406.4493,21.41563998
1412.64084,21.45968627
1418.83238,21.50509689
1425.02392,21.55191846
1431.21546,21.60019863
