Energy,Gap
20.0000, 21.5000
25.0000, 25.1000
30.0000, 28.0500
35.0000, 30.6000
40.0000, 32.8000
45.0000, 34.7000
50.0000, 36.4400
55.0000, 38.0000
60.0000, 39.5000
65.0000, 40.8400
70.0000, 42.1000
75.0000, 43.2400
80.0000, 44.3900
85.0000, 45.4000
90.0000, 46.3900
95.0000, 47.3000
100.0000, 48.2000
120.0000, 51.5000
140.0000, 54.3000
160.0000, 56.8000
180.0000, 59.1000
200.0000, 61.3000
220.0000, 63.2000
240.0000, 65.1000
260.0000, 66.9000
280.0000, 68.6000
300.0000, 70.3000
320.0000, 71.9000
340.0000, 73.5000
360.0000, 75.1000
380.0000, 76.7000
400.0000, 78.2000
411.0000, 80.0000
533.0000, 90.0000
633.0000, 100.0000
746.0000, 120.0000
787.0000, 140.0000
